1669912538,0.00,0.0
1669912540,0.01,0.0
1669913600,0.01,0.0
1669914232,0.0,0.06
1669914234,0.0,0.06
1669914236,0.0,0.06
1669914238,0.0,0.06
1669914240,0.009999999999999998,0.06
1669914242,0.0,0.06
1669914244,0.0,0.06
1669914246,0.0,0.06
1669914248,0.0,0.06
1669914250,0.0,0.06
1669914252,0.0,0.06
1669914254,0.0,0.06
1669914256,0.0,0.06
1669914258,0.0,0.06
1669914260,0.0,0.06
1669914262,0.0,0.06
1669914264,0.0,0.06
1669914266,0.0,0.06
1669914268,0.0,0.06
1669914270,0.0,0.06
1669914272,0.0,0.06
1669914274,0.0,0.06
1669914276,0.0,0.06
1669914278,0.0,0.06
1669914280,0.0,0.06
1669914282,0.0,0.06
1669914284,0.0,0.06
1669914286,0.0,0.06
1669914288,0.0,0.06
1669914290,0.0,0.06
1669914292,0.0,0.06
1669914294,0.0,0.06
1669914296,0.0,0.06
1669914298,0.0,0.06
1669914300,0.0,0.06
1669914302,0.0,0.06
1669914304,0.0,0.06
1669914305,0.0,0.06
1669914306,0.0,0.06
1669914308,0.0,0.06
1669914310,0.0,0.06
1669914312,0.0,0.06
1669914314,0.0,0.06
1669914316,0.0,0.06
1669914318,0.0,0.06
1669914320,0.0,0.06
1669914322,0.0,0.06
1669914324,0.0,0.06
1669914326,0.0,0.06
1669914328,0.0,0.06
1669914330,0.0,0.06
1669914332,0.0,0.06
1669914334,0.0,0.06
1669914336,0.0,0.06
1669914338,0.0,0.06
1669914340,0.0,0.06
1669914342,0.0,0.06
1669914344,0.0,0.06
1669914346,0.0,0.06
1669914348,0.0,0.06
1669914350,0.0,0.06
1669914352,0.0,0.06
1669914354,0.0,0.06
1669914356,0.0,0.06
1669914358,0.0,0.06
1669914360,0.0,0.06
1669914362,0.0,0.06
1669914364,0.0,0.06
1669914366,0.0,0.06
1669914368,0.0,0.06
1669914370,0.0,0.06
1669914372,0.0,0.06
1669914374,0.0,0.06
1669914376,0.0,0.06
1669914378,0.0,0.06
1669914380,0.0,0.06
1669914382,0.0,0.06
1669914384,0.0,0.06
1669914386,0.0,0.06
1669914388,0.0,0.06
1669914390,0.0,0.06
1669914392,0.0,0.06
1669914394,0.0,0.06
1669914396,0.0,0.06
1669914398,0.0,0.06
1669914400,0.0,0.06
1669914402,0.0,0.06
1669914404,0.0,0.06
1669914406,0.0,0.06
1669914408,0.0,0.06
1669914410,0.0,0.06
1669914412,0.0,0.06
1669914414,0.0,0.06
1669914416,0.0,0.06
1669914418,0.0,0.06
1669914420,0.0,0.06
1669914422,0.0,0.06
1669914424,0.0,0.06
1669914426,0.0,0.06
1669914428,0.0,0.06
1669914430,0.0,0.06
1669914432,0.0,0.06
1669914434,0.0,0.06
1669914436,0.0,0.06
1669914438,0.0,0.06
1669914440,0.0,0.06
1669914442,0.0,0.06
1669914444,0.0,0.06
1669914446,0.0,0.06
1669914448,0.0,0.06
1669914450,0.0,0.06
1669914452,0.0,0.06
1669914454,0.0,0.06
1669914456,0.0,0.06
1669914458,0.0,0.06
1669914460,0.0,0.06
1669914462,0.0,0.06
1669914464,0.0,0.06
1669914466,0.0,0.06
1669914468,0.0,0.06
1669914470,0.0,0.06
1669914472,0.0,0.06
1669914474,0.0,0.06
1669914476,0.0,0.06
1669914478,0.0,0.06
1669914480,0.0,0.06
1669914482,0.0,0.06
1669914484,0.0,0.06
1669914486,0.0,0.06
1669914488,0.0,0.06
1669914490,0.0,0.06
1669914492,0.0,0.06
